lat,lon,date,offense,street
41.62635,-86.2579,2025-09-04T00:00:00Z,,Ireland
41.62635,-86.2579,2025-09-05T00:00:00Z,,Ireland
41.62635,-86.2579,2025-09-08T00:00:00Z,,Ireland
41.62635,-86.2579,2025-09-09T00:00:00Z,,Ireland
41.62635,-86.2579,2025-09-10T00:00:00Z,,Ireland
41.62635,-86.2579,2025-09-11T00:00:00Z,,Ireland
41.62635,-86.2579,2025-09-12T00:00:00Z,,Ireland
41.62635,-86.2579,2025-09-18T00:00:00Z,,Ireland
41.62635,-86.2579,2025-09-21T00:00:00Z,,Ireland
41.62635,-86.2579,2025-09-22T00:00:00Z,,Ireland
41.62635,-86.2579,2025-09-25T00:00:00Z,,Ireland
41.62635,-86.2579,2025-10-03T00:00:00Z,,Ireland
41.62635,-86.2579,2025-10-24T00:00:00Z,,Ireland
41.62635,-86.2579,2025-10-27T00:00:00Z,,Ireland
41.62635,-86.2579,2025-10-28T00:00:00Z,,Ireland
41.62635,-86.2579,2025-10-31T00:00:00Z,,Ireland
41.62635,-86.2579,2025-11-04T00:00:00Z,,Ireland
41.62635,-86.2579,2025-11-12T00:00:00Z,,Ireland
41.62635,-86.2579,2025-11-14T00:00:00Z,,Ireland
41.62635,-86.2579,2025-11-23T00:00:00Z,,Ireland
41.62647,-86.2444,2025-09-25T00:00:00Z,,Fellows
41.62648399,-86.244462,2024-09-03T00:00:00Z,,Fellows
41.62653,-86.2307,2024-11-23T00:00:00Z,,Miami
41.626531007,-86.23070797,2022-02-23T00:00:00Z,,Miami
41.62654,-86.2537,2025-08-03T00:00:00Z,,Ireland
41.62654,-86.2537,2025-08-08T00:00:00Z,,Ireland
41.62654,-86.2537,2025-08-11T00:00:00Z,,Ireland
41.62654,-86.2537,2025-09-15T00:00:00Z,,Ireland
41.62654,-86.2537,2025-10-13T00:00:00Z,,Ireland
41.62654,-86.2537,2025-10-24T00:00:00Z,,Ireland
41.62654,-86.2537,2025-11-21T00:00:00Z,,Ireland
41.62657,-86.2538,2025-03-05T00:00:00Z,,Ireland
41.62657091,-86.25380011,2025-02-05T00:00:00Z,,Ireland
41.62661,-86.2472,2024-12-18T00:00:00Z,,St
41.62661,-86.2472,2025-01-13T00:00:00Z,,St
41.62661,-86.2472,2025-03-10T00:00:00Z,,St
41.62661,-86.2472,2025-03-26T00:00:00Z,,St
41.62661,-86.2472,2025-03-27T00:00:00Z,,St
41.62661424,-86.247224,2025-02-04T00:00:00Z,,St
41.626614994,-86.23552304,2022-07-26T00:00:00Z,,Miami
41.626756415,-86.225254,2023-05-21T00:00:00Z,,York
41.62676,-86.2541,2024-08-02T00:00:00Z,,Ireland
41.62676,-86.2541,2024-11-05T00:00:00Z,,Ireland
41.62676,-86.2541,2024-11-12T00:00:00Z,,Ireland
41.62676,-86.2541,2024-11-30T00:00:00Z,,Ireland
41.62676,-86.2541,2025-04-11T00:00:00Z,,Ireland
41.62676,-86.2541,2025-04-17T00:00:00Z,,Ireland
41.62676,-86.2541,2025-04-22T00:00:00Z,,Ireland
41.62676,-86.2541,2025-04-28T00:00:00Z,,Ireland
41.62676,-86.2541,2025-05-07T00:00:00Z,,Ireland
